bin	chrom	chromStart	chromEnd	name	length	cpgNum	gcNum	perCpg	perGc	obsExp
27	chr1	155188536	155192004	CpG: 361	3468	361	2761	20.8	79.6	0.73
75	chr1	2226773	2229734	CpG: 366	2961	366	1999	24.7	67.5	1.08
107	chr1	36306229	36307408	CpG: 110	1179	110	824	18.7	69.9	0.77
118	chr1	47708822	47710847	CpG: 164	2025	164	1268	16.2	62.6	0.83
124	chr1	53737729	53739637	CpG: 221	1908	221	1347	23.2	70.6	0.93
210	chr1	144179071	144179313	CpG: 20	242	20	172	16.5	71.1	0.68
222	chr1	156499825	156501268	CpG: 112	1443	112	889	15.5	61.6	0.84
290	chr1	228457406	228458733	CpG: 120	1327	120	775	18.1	58.4	1.06
309	chr1	247857028	247857950	CpG: 99	922	99	618	21.5	67	0.96
585	chr1	28735	29737	CpG: 111	1002	111	731	22.2	73	0.85
586	chr1	135124	135563	CpG: 30	439	30	295	13.7	67.2	0.64
586	chr1	199251	200121	CpG: 104	870	104	643	23.9	73.9	0.89
587	chr1	368792	370063	CpG: 99	1271	99	777	15.6	61.1	0.84
587	chr1	381172	382185	CpG: 84	1013	84	734	16.6	72.5	0.64
588	chr1	491107	491546	CpG: 29	439	29	295	13.2	67.2	0.62
589	chr1	597839	598734	CpG: 94	895	94	570	21	63.7	1.04
589	chr1	609358	611269	CpG: 171	1911	171	1405	17.9	73.5	0.67
590	chr1	778604	779167	CpG: 60	563	60	385	21.3	68.4	0.92
591	chr1	827036	828065	CpG: 111	1029	111	657	21.6	63.8	1.09
591	chr1	853483	853831	CpG: 28	348	28	192	16.1	55.2	1.06
591	chr1	866595	866958	CpG: 24	363	24	243	13.2	66.9	0.79
591	chr1	869818	870248	CpG: 50	430	50	316	23.3	73.5	0.87
591	chr1	904314	905239	CpG: 119	925	119	693	25.7	74.9	0.92
591	chr1	908919	910503	CpG: 154	1584	154	1106	19.4	69.8	0.82
592	chr1	919385	919593	CpG: 16	208	16	140	15.4	67.3	0.68
592	chr1	923590	926252	CpG: 325	2662	325	1919	24.4	72.1	0.94
592	chr1	933952	934964	CpG: 92	1012	92	746	18.2	73.7	0.88
592	chr1	935577	935956	CpG: 27	379	27	255	14.2	67.3	0.63
592	chr1	936259	936492	CpG: 20	233	20	173	17.2	74.2	0.63
592	chr1	940225	942983	CpG: 254	2758	254	1906	18.4	69.1	0.77
592	chr1	950976	951222	CpG: 18	246	18	163	14.6	66.3	0.67
592	chr1	958933	967274	CpG: 616	8341	616	5522	14.8	66.2	0.67
592	chr1	970916	971158	CpG: 23	242	23	175	19	72.3	0.74
592	chr1	976046	979425	CpG: 248	3379	248	2430	14.7	71.9	0.62
592	chr1	984346	984547	CpG: 15	201	15	139	14.9	69.2	0.63
592	chr1	998007	1002030	CpG: 410	4023	410	2687	20.4	66.8	0.91
592	chr1	1013290	1013514	CpG: 19	224	19	138	17	61.6	0.89
592	chr1	1013949	1014471	CpG: 35	522	35	344	13.4	65.9	0.62
592	chr1	1019388	1020963	CpG: 135	1575	135	824	17.1	52.3	1.26
592	chr1	1028415	1029127	CpG: 54	712	54	510	15.2	71.6	0.64
592	chr1	1032586	1034858	CpG: 183	2272	183	1379	16.1	60.7	0.87
592	chr1	1040116	1044925	CpG: 347	4809	347	3111	14.4	64.7	0.69
592	chr1	1045688	1046020	CpG: 26	332	26	224	15.7	67.5	0.7
592	chr1	1046772	1047131	CpG: 26	359	26	248	14.5	69.1	0.61
592	chr1	1047794	1048232	CpG: 32	438	32	266	14.6	60.7	0.81
593	chr1	1048826	1049049	CpG: 19	223	19	154	17	69.1	0.72
593	chr1	1054894	1055314	CpG: 29	420	29	276	13.8	65.7	0.64
